id,title,description,zoom_level,latitude,longitude,created_at,updated_at,deleted_at
1,"Namibia",,6,"-23.2319053","18.3938477",2014-10-03 08:51:41,2014-10-03 08:51:41,
2,"South Africa",,6,"-28.7393884","24.9856445",2014-10-03 08:51:41,2014-10-03 08:51:41,
